id,seller_id,satisfaction_score,review_count,total_product_count,is_abusing_seller,processed_address,is_cross_border,is_english_name
2310,A00463856,94,13798,64290,False,서울특별시 용산구,0,0
2311,A00209402,98,292,147,False,경기도 안양시,0,0
2312,A00802339,95,685,264,False,경기도 양주시,0,0
2313,A00077736,97,1237,1997,False,대구광역시 북구,0,0
2314,A00102996,96,32302,508,False,서울특별시 강동구,0,0
2315,A00395418,92,3756,1063,False,대전광역시 서구,0,0
2316,A01188311,97,434,876,False,서울특별시 동대문구,0,0
2317,A00344675,94,42375,15319,False,서울특별시 종로구,0,0
2318,A00148996,98,1050,267,False,광주광역시 서구,0,0
2319,A00353302,96,852,617,False,경기도 의왕시,0,0
2320,A00131648,97,2424,16164,False,서울특별시 강남구,0,0
2321,A00069746,97,119488,98,False,충청남도 천안시,1,0
2322,A00241325,97,135,101,False,서울특별시 영등포구,0,0
2323,A00838630,93,753,18,False,경기도 남양주시,0,0
2324,A00225476,94,343,834,False,경기도 김포시,0,0
2325,A00189947,96,8243,630,False,경기도 시흥시,0,0
2326,A01284609,93,136,29,False,서울특별시 강동구,0,0
2327,A00986761,98,1747,7,False,서울특별시 송파구,0,0
2328,A00317154,95,265,154,False,경기도 용인시,0,0
2329,A00288506,98,1796,26,False,경기도 성남시,0,0
2330,A00153680,94,158,46,False,인천광역시 서구,0,0
2331,A01400661,99,2520,129,False,경기도 광주시,0,0
2332,A01115363,95,589,140,False,서울특별시 종로구,0,0
2333,A00683157,93,1154,167,False,서울특별시 용산구,0,0
2334,A01047532,93,5256,139,False,서울특별시 종로구,0,0
2335,A00055600,96,846,324,False,광주광역시 북구,0,0
2336,A01461897,100,17,78,False,경기도 수원시,0,0
2337,A00398952,97,238,82,False,서울특별시 동작구,0,0
2338,A00172300,94,105,168,False,경기도 하남시,0,0
2339,A00123448,98,285,53,False,서울특별시 종로구,0,0
2340,A01082522,95,345,1005,False,경기도 고양시,0,0
2341,A00782396,95,1191,3000,False,부산광역시 강서구,0,0
2342,A01338214,97,127,26,False,경기도 김포시,0,0
2343,C00190253,97,3483,3618,False,JAPAN SAITAMA-KEN,1,1
2344,A00120820,95,3694,247,False,서울특별시 구로구,0,0
2345,A00015244,96,1006,1383,False,경기도 부천시,0,0
2346,A00302037,90,222,1596,False,서울특별시 구로구,0,0
2347,A00816374,94,212,20,False,경기도 군포시,0,0
2348,A00229234,88,17095,2918,False,경기도 용인시,0,0
2349,A00008258,97,3801,346,False,서울특별시 용산구,0,0
2350,A00894082,96,7968,71,False,서울특별시 금천구,0,0
2351,A01233606,96,3779,214,False,서울특별시 강남구,0,0
2352,A00522126,97,755,386,False,경기도 파주시,0,0
2353,A00141556,96,5178,16632,False,부산광역시 남구,0,0
2354,A00052330,96,6128,17,False,경기도 포천시,0,0
